id,title,status,user_score,watchd_ep,total_ep,airing_status,media_type,mpaa_rating,start_date,end_date
38897,Fate/kaleid liner Prisma☆Illya: Prisma☆Phantasm,Completed,2,1,1,Finished Airing,Movie,PG-13,14-Jun-2019,14-Jun-2019
18851,Fate/kaleid liner Prisma☆Illya: Undoukai de Dance!,Completed,2,1,1,Finished Airing,OVA,PG-13,10-Mar-2014,10-Mar-2014
12565,Fate/Prototype,Completed,4,1,1,Finished Airing,OVA,PG-13,31-Dec-2011,31-Dec-2011
356,Fate/stay night,Completed,6,24,24,Finished Airing,TV,R,07-Jan-2006,17-Jun-2006
25537,Fate/stay night Movie: Heaven's Feel - I. Presage Flower,Completed,6,1,1,Finished Airing,Movie,R,14-Oct-2017,14-Oct-2017
33049,Fate/stay night Movie: Heaven's Feel - II. Lost Butterfly,Completed,8,1,1,Finished Airing,Movie,R,12-Jan-2019,12-Jan-2019
33050,Fate/stay night Movie: Heaven's Feel - III. Spring Song,Completed,8,1,1,Finished Airing,Movie,R,15-Aug-2020,15-Aug-2020
6922,Fate/stay night Movie: Unlimited Blade Works,Completed,5,1,1,Finished Airing,Movie,PG-13,23-Jan-2010,23-Jan-2010
22297,Fate/stay night: Unlimited Blade Works,Completed,7,12,12,Finished Airing,TV,R,12-Oct-2014,28-Dec-2014
28701,Fate/stay night: Unlimited Blade Works 2nd Season,Completed,7,13,13,Finished Airing,TV,R,05-Apr-2015,28-Jun-2015
31389,Fate/stay night: Unlimited Blade Works 2nd Season - Sunny Day,Completed,5,1,1,Finished Airing,Special,PG-13,07-Oct-2015,07-Oct-2015
27821,Fate/stay night: Unlimited Blade Works Prologue,Completed,6,1,1,Finished Airing,Special,PG-13,05-Oct-2014,05-Oct-2014
40982,Fate/strange Fake,Completed,3,1,1,Finished Airing,ONA,PG-13,31-Dec-2019,31-Dec-2019
10087,Fate/Zero,Completed,8,13,13,Finished Airing,TV,R,02-Oct-2011,25-Dec-2011
11741,Fate/Zero 2nd Season,Completed,8,12,12,Finished Airing,TV,R,08-Apr-2012,24-Jun-2012
13263,Fate/Zero: Onegai! Einzbern Soudanshitsu,Completed,2,6,6,Finished Airing,Special,PG-13,07-Mar-2012,19-Sep-2012
121,Fullmetal Alchemist,Completed,9,51,51,Finished Airing,TV,PG-13,04-Oct-2003,02-Oct-2004
5114,Fullmetal Alchemist: Brotherhood,Completed,9,64,64,Finished Airing,TV,R,05-Apr-2009,04-Jul-2010
430,Fullmetal Alchemist: The Conqueror of Shamballa,Completed,5,1,1,Finished Airing,Movie,PG-13,23-Jul-2005,23-Jul-2005
16918,Gin no Saji,Completed,7,11,11,Finished Airing,TV,PG-13,12-Jul-2013,20-Sep-2013
19363,Gin no Saji 2nd Season,Completed,7,11,11,Finished Airing,TV,PG-13,10-Jan-2014,28-Mar-2014
820,Ginga Eiyuu Densetsu,Completed,7,110,110,Finished Airing,OVA,R,08-Jan-1988,17-Mar-1997
39463,Gleipnir,Completed,6,13,13,Finished Airing,TV,R,05-Apr-2020,28-Jun-2020
268,Golden Boy,Completed,4,6,6,Finished Airing,OVA,R+,27-Oct-1995,28-Jun-1996
17895,Golden Time,Completed,5,24,24,Finished Airing,TV,PG-13,04-Oct-2013,28-Mar-2014
37105,Grand Blue,Completed,7,12,12,Finished Airing,TV,PG-13,14-Jul-2018,29-Sep-2018
